,time,bettype,target,line,decimalodds
0,2023-04-29 00:03:30.796654,Puck Line,DAL Stars,-140,1.71428572
1,2023-04-29 00:03:30.796654,Puck Line,MIN Wild,+110,2.1
2,2023-04-29 00:03:30.796654,Null,Null,Null,0.0
3,2023-04-29 00:03:30.796654,Null,Null,Null,0.0
4,2023-04-29 00:03:30.796654,Moneyline,DAL Stars,-12500,1.008
5,2023-04-29 00:03:30.796654,Moneyline,MIN Wild,+2000,21.0
6,2023-04-29 00:03:30.796654,Puck Line,COL Avalanche,-130,1.76923077
7,2023-04-29 00:03:30.796654,Puck Line,SEA Kraken,+100,2.0
8,2023-04-29 00:03:30.796654,Total,Over,+120,2.2
9,2023-04-29 00:03:30.796654,Total,Under,-150,1.66666667
10,2023-04-29 00:03:30.796654,Moneyline,COL Avalanche,-2100,1.04761905
11,2023-04-29 00:03:30.796654,Moneyline,SEA Kraken,+1000,11.0
12,2023-04-29 00:03:30.796654,Puck Line,NJ Devils,-230,1.43478261
13,2023-04-29 00:03:30.796654,Puck Line,NY Rangers,+195,2.95
14,2023-04-29 00:03:30.796654,Total,Over,+100,2.0
15,2023-04-29 00:03:30.796654,Total,Under,-120,1.83333334
16,2023-04-29 00:03:30.796654,Moneyline,NJ Devils,+105,2.05
17,2023-04-29 00:03:30.796654,Moneyline,NY Rangers,-125,1.8
18,2023-04-29 00:03:30.796654,Puck Line,TOR Maple Leafs,-260,1.38461539
19,2023-04-29 00:03:30.796654,Puck Line,TB Lightning,+220,3.2
20,2023-04-29 00:03:30.796654,Total,Over,-110,1.90909091
21,2023-04-29 00:03:30.796654,Total,Under,-110,1.90909091
22,2023-04-29 00:03:30.796654,Moneyline,TOR Maple Leafs,-110,1.90909091
23,2023-04-29 00:03:30.796654,Moneyline,TB Lightning,-110,1.90909091
24,2023-04-29 00:03:30.796654,Puck Line,EDM Oilers,+140,2.4
25,2023-04-29 00:03:30.796654,Puck Line,LA Kings,-165,1.60606061
26,2023-04-29 00:03:30.796654,Total,Over,-130,1.76923077
27,2023-04-29 00:03:30.796654,Total,Under,+110,2.1
28,2023-04-29 00:03:30.796654,Moneyline,EDM Oilers,-170,1.5882353
29,2023-04-29 00:03:30.796654,Moneyline,LA Kings,+145,2.45
30,2023-04-29 00:03:30.796654,Puck Line,FLA Panthers,-125,1.8
31,2023-04-29 00:03:30.796654,Puck Line,BOS Bruins,+105,2.05
32,2023-04-29 00:03:30.796654,Total,Over,-120,1.83333334
33,2023-04-29 00:03:30.796654,Total,Under,+100,2.0
34,2023-04-29 00:03:30.796654,Moneyline,FLA Panthers,+195,2.95
